t,gx,gy,gz,ax,ay,az
1713722594480674007,0.006391586735844612,0.0,-0.009587380103766918,-0.04429272934794426,-0.1975216418504715,9.764751434326172
1713722594490674007,0.006391586735844612,0.0,-0.01065264455974102,-0.04668693244457245,-0.20350714027881622,9.774328231811523
1713722594500674007,0.006391586735844612,0.0,-0.01065264455974102,-0.05506663769483566,-0.20470423996448517,9.77791976928711
1713722594510674007,0.006391586735844612,0.0,-0.011717909015715122,-0.05506663769483566,-0.1975216418504715,9.77672290802002
1713722594519674007,0.006391586735844612,0.0,-0.01065264455974102,-0.05386953800916672,-0.1951274424791336,9.773131370544434
1713722594529674007,0.006391586735844612,0.0,-0.01065264455974102,-0.05746084079146385,-0.19273322820663452,9.770736694335938
1713722594539674007,0.006391586735844612,0.001065264455974102,-0.01065264455974102,-0.05147533491253853,-0.1951274424791336,9.768342971801758
1713722594548674007,0.00532632227987051,0.0,-0.011717909015715122,-0.043095629662275314,-0.1975216418504715,9.771934509277344
1713722594558674007,0.006391586735844612,0.0,-0.01065264455974102,-0.047884032130241394,-0.19632454216480255,9.774328231811523
1713722594568674007,0.006391586735844612,0.0,-0.01065264455974102,-0.05386953800916672,-0.19632454216480255,9.770736694335938
1713722594577674007,0.006391586735844612,0.0,-0.01065264455974102,-0.05746084079146385,-0.19632454216480255,9.763554573059082
1713722594587674007,0.006391586735844612,0.0,-0.009587380103766918,-0.05147533491253853,-0.19273322820663452,9.768342971801758
1713722594597674007,0.006391586735844612,0.0,-0.01065264455974102,-0.0454898327589035,-0.19273322820663452,9.77791976928711
1713722594607674007,0.006391586735844612,0.0,-0.011717909015715122,-0.047884032130241394,-0.1975216418504715,9.768342971801758
1713722594616674007,0.006391586735844612,-0.001065264455974102,-0.01065264455974102,-0.04668693244457245,-0.19871874153614044,9.765948295593262
1713722594626674007,0.006391586735844612,-0.001065264455974102,-0.01065264455974102,-0.04668693244457245,-0.19632454216480255,9.775525093078613
1713722594636674007,0.006391586735844612,-0.001065264455974102,-0.011717909015715122,-0.04908113554120064,-0.20350714027881622,9.775525093078613
1713722594646674007,0.006391586735844612,0.0,-0.01065264455974102,-0.0454898327589035,-0.20949263870716095,9.769539833068848
1713722594655674007,0.006391586735844612,0.0,-0.01065264455974102,-0.0454898327589035,-0.1999158412218094,9.77672290802002
1713722594665674007,0.006391586735844612,0.0,-0.01065264455974102,-0.040701426565647125,-0.19273322820663452,9.783905029296875
1713722594674674007,0.006391586735844612,0.0,-0.01065264455974102,-0.03232172131538391,-0.19632454216480255,9.775525093078613
1713722594684674007,0.006391586735844612,0.0,-0.011717909015715122,-0.03711012750864029,-0.1951274424791336,9.773131370544434
1713722594694674007,0.006391586735844612,-0.001065264455974102,-0.01065264455974102,-0.038307227194309235,-0.1951274424791336,9.775525093078613
1713722594704674007,0.006391586735844612,0.0,-0.011717909015715122,-0.04189852997660637,-0.20231004059314728,9.773131370544434
1713722594713674007,0.006391586735844612,0.0,-0.01065264455974102,-0.047884032130241394,-0.20231004059314728,9.773131370544434
1713722594723674007,0.006391586735844612,-0.001065264455974102,-0.009587380103766918,-0.0454898327589035,-0.19632454216480255,9.773131370544434
1713722594733674007,0.006391586735844612,0.0,-0.011717909015715122,-0.043095629662275314,-0.19871874153614044,9.77672290802002
1713722594743674007,0.006391586735844612,0.001065264455974102,-0.01065264455974102,-0.035913024097681046,-0.20231004059314728,9.771934509277344
1713722594752674007,0.006391586735844612,0.0,-0.01065264455974102,-0.04189852997660637,-0.20111294090747833,9.771934509277344
1713722594762674007,0.006391586735844612,-0.001065264455974102,-0.009587380103766918,-0.05267243832349777,-0.19632454216480255,9.782708168029785
1713722594772674007,0.006391586735844612,0.0,-0.009587380103766918,-0.047884032130241394,-0.19273322820663452,9.782708168029785
1713722594782674007,0.006391586735844612,0.001065264455974102,-0.01065264455974102,-0.04668693244457245,-0.20111294090747833,9.775525093078613
1713722594791674007,0.006391586735844612,0.001065264455974102,-0.01065264455974102,-0.04429272934794426,-0.20350714027881622,9.764751434326172
1713722594801674007,0.006391586735844612,0.0,-0.01065264455974102,-0.04189852997660637,-0.20350714027881622,9.767146110534668
1713722594810674007,0.006391586735844612,0.0,-0.01065264455974102,-0.04908113554120064,-0.20350714027881622,9.7791166305542
1713722594820674007,0.006391586735844612,0.0,-0.01065264455974102,-0.05746084079146385,-0.1975216418504715,9.783905029296875
1713722594830674007,0.006391586735844612,0.001065264455974102,-0.01065264455974102,-0.05386953800916672,-0.1999158412218094,9.771934509277344
1713722594840674007,0.006391586735844612,0.0,-0.01065264455974102,-0.0454898327589035,-0.1975216418504715,9.765948295593262
1713722594849674007,0.006391586735844612,0.0,-0.01065264455974102,-0.04668693244457245,-0.19393032789230347,9.773131370544434
1713722594859674007,0.006391586735844612,0.001065264455974102,-0.01065264455974102,-0.04908113554120064,-0.19632454216480255,9.787496566772461
1713722594869674007,0.006391586735844612,0.001065264455974102,-0.01065264455974102,-0.05506663769483566,-0.19871874153614044,9.786299705505371
1713722594878674007,0.007456851191818714,0.001065264455974102,-0.009587380103766918,-0.05626373738050461,-0.20350714027881622,9.775525093078613
1713722594888674007,0.006391586735844612,0.0,-0.01065264455974102,-0.04908113554120064,-0.20350714027881622,9.77672290802002
1713722594898674007,0.006391586735844612,0.0,-0.01065264455974102,-0.04908113554120064,-0.19871874153614044,9.769539833068848
1713722594908674007,0.006391586735844612,0.0,-0.01065264455974102,-0.04908113554120064,-0.1999158412218094,9.767146110534668
1713722594917674007,0.006391586735844612,0.0,-0.01065264455974102,-0.04429272934794426,-0.19632454216480255,9.774328231811523
1713722594927674007,0.006391586735844612,0.0,-0.01065264455974102,-0.040701426565647125,-0.19393032789230347,9.781511306762695
1713722594936674007,0.006391586735844612,0.0,-0.01065264455974102,-0.04668693244457245,-0.19632454216480255,9.775525093078613
1713722594946674007,0.006391586735844612,0.0,-0.01065264455974102,-0.05267243832349777,-0.19393032789230347,9.768342971801758
1713722594956674007,0.00532632227987051,0.0,-0.01065264455974102,-0.04908113554120064,-0.19273322820663452,9.781511306762695
1713722594966674007,0.007456851191818714,0.0,-0.01065264455974102,-0.04668693244457245,-0.20231004059314728,9.78869342803955
1713722594975674007,0.006391586735844612,0.001065264455974102,-0.009587380103766918,-0.04189852997660637,-0.20709843933582306,9.77791976928711
1713722594985400945,0.006391586735844612,0.0,-0.01065264455974102,-0.047884032130241394,-0.1951274424791336,9.770736694335938
1713722594995400945,0.006391586735844612,0.0,-0.01065264455974102,-0.0586579404771328,-0.19393032789230347,9.774328231811523
1713722595005400945,0.006391586735844612,0.001065264455974102,-0.009587380103766918,-0.05147533491253853,-0.19632454216480255,9.77672290802002
1713722595014400945,0.00532632227987051,0.0,-0.01065264455974102,-0.040701426565647125,-0.19632454216480255,9.767146110534668
