t,gx,gy,gz,ax,ay,az
1713723961483156883,0.006391586735844612,-0.001065264455974102,-0.01065264455974102,-0.08858545869588852,-0.35913026332855225,9.77791976928711
1713723961493156883,0.006391586735844612,0.0,-0.01065264455974102,-0.0933738648891449,-0.35673603415489197,9.77791976928711
1713723961502156883,0.006391586735844612,0.0,-0.01065264455974102,-0.08738835901021957,-0.35913026332855225,9.780313491821289
1713723961512156883,0.006391586735844612,0.0,-0.01065264455974102,-0.08858545869588852,-0.3663128614425659,9.780313491821289
1713723961522156883,0.006391586735844612,0.0,-0.011717909015715122,-0.08259996026754379,-0.35913026332855225,9.77791976928711
1713723961532156883,0.006391586735844612,0.0,-0.01065264455974102,-0.07900865375995636,-0.34835633635520935,9.783905029296875
1713723961541156883,0.006391586735844612,0.0,-0.01065264455974102,-0.08858545869588852,-0.3471592366695404,9.77791976928711
1713723961551156883,0.006391586735844612,0.0,-0.01065264455974102,-0.08978256583213806,-0.3543418347835541,9.780313491821289
1713723961561156883,0.00532632227987051,0.0,-0.01065264455974102,-0.08858545869588852,-0.3603273630142212,9.787496566772461
1713723961571156883,0.006391586735844612,0.0,-0.01065264455974102,-0.08499415963888168,-0.35673603415489197,9.786299705505371
1713723961580156883,0.006391586735844612,0.0,-0.01065264455974102,-0.0802057534456253,-0.355538934469223,9.781511306762695
1713723961590156883,0.00532632227987051,0.0,-0.01065264455974102,-0.0802057534456253,-0.3603273630142212,9.77791976928711
1713723961600156883,0.006391586735844612,0.0,-0.01065264455974102,-0.08379705995321274,-0.355538934469223,9.780313491821289
1713723961609156883,0.006391586735844612,0.0,-0.01065264455974102,-0.08738835901021957,-0.34596213698387146,9.781511306762695
1713723961619156883,0.00532632227987051,0.001065264455974102,-0.009587380103766918,-0.08738835901021957,-0.3495534360408783,9.787496566772461
1713723961629156883,0.006391586735844612,0.0,-0.01065264455974102,-0.08619125932455063,-0.35673603415489197,9.780313491821289
1713723961639156883,0.006391586735844612,0.0,-0.01065264455974102,-0.08140285313129425,-0.35673603415489197,9.77791976928711
1713723961648156883,0.00532632227987051,0.0,-0.01065264455974102,-0.07900865375995636,-0.3579331338405609,9.7791166305542
1713723961658156883,0.006391586735844612,0.0,-0.01065264455974102,-0.08259996026754379,-0.355538934469223,9.77791976928711
1713723961668156883,0.006391586735844612,-0.001065264455974102,-0.009587380103766918,-0.08259996026754379,-0.35673603415489197,9.782708168029785
1713723961677156883,0.006391586735844612,0.0,-0.01065264455974102,-0.08619125932455063,-0.363918662071228,9.792284965515137
1713723961687156883,0.006391586735844612,0.0,-0.009587380103766918,-0.0933738648891449,-0.3579331338405609,9.786299705505371
1713723961697156883,0.007456851191818714,-0.001065264455974102,-0.01065264455974102,-0.0933738648891449,-0.35314473509788513,9.77672290802002
1713723961706156883,0.006391586735844612,0.0,-0.009587380103766918,-0.0933738648891449,-0.35075053572654724,9.785101890563965
1713723961716156883,0.006391586735844612,0.0,-0.01065264455974102,-0.08259996026754379,-0.35314473509788513,9.781511306762695
1713723961726156883,0.006391586735844612,0.0,-0.01065264455974102,-0.07661445438861847,-0.363918662071228,9.768342971801758
1713723961736156883,0.006391586735844612,-0.001065264455974102,-0.009587380103766918,-0.07900865375995636,-0.363918662071228,9.769539833068848
1713723961745156883,0.006391586735844612,0.0,-0.01065264455974102,-0.08140285313129425,-0.3663128614425659,9.77672290802002
1713723961755156883,0.006391586735844612,0.0,-0.01065264455974102,-0.090979665517807,-0.36750996112823486,9.775525093078613
1713723961765156883,0.006391586735844612,0.0,-0.01065264455974102,-0.0933738648891449,-0.35913026332855225,9.770736694335938
