t,px,py,pz,rx,ry,rz,rw
1679689504329119671,-2.1209285027868745,4.167590820936339,1.2549452112471275,0.02427457509204464,0.009518519196212676,-0.023282280283661794,0.9993888523598835
1679689504340740990,-2.1219078771510356,4.167923713951956,1.2545324014316162,0.02415564602246469,0.009484147056309553,-0.025136084645845262,0.9993471533799096
1679689504349146755,-2.110856659854879,4.186464519794185,1.2551003032158812,0.004622695280347812,0.016399175116538576,-0.19638240872136828,0.980379338464778
1679689504358656220,-2.121595606360009,4.167003560778064,1.2543691326767687,0.00970400707475975,0.00616440704516779,-0.03552364829321413,0.999302708264325
1679689504368822650,-2.1220114471704594,4.1677880018878835,1.2539904654889984,0.009892890254371392,0.006510777401903547,-0.04041376472413177,0.9991128405344716
1679689504378108302,-2.1235222629271915,4.170137660711946,1.2546880719147073,0.023610293238678817,0.012639994216654545,-0.03856168210866683,0.9988972826433841
1679689504389262375,-2.1236745837590205,4.170753510330757,1.2546186014396772,0.02335796352146876,0.013822608234186169,-0.04167884685747883,0.9987623414838811
1679689504398547574,-2.123561996163254,4.171208524345593,1.255326844270042,0.021675165923492105,0.013430453781832948,-0.04016658956334157,0.9988675864078548
1679689504408588729,-2.1235365469391883,4.1718754525362955,1.2554371187058897,0.021667313887390918,0.015165263724835768,-0.04503322111301382,0.9986353444983048
1679689504421497268,-2.123225992504281,4.172242537641106,1.256374061734944,0.021593998168260464,0.015487723350417053,-0.0429635554363164,0.9987231661340398
1679689504428873685,-2.1230794508703754,4.173054027752756,1.2563011446860606,0.02286020970792097,0.017498142473511086,-0.047870871322138964,0.9984385837401046
1679689504438545748,-2.122685473174577,4.173649803966985,1.2565984152217622,0.022889813447262267,0.018278712980777243,-0.04786081933202814,0.9984244022784013
1679689504448788013,-2.1222768437438546,4.174423591143862,1.2566489255807811,0.022884424966343114,0.01901846986296973,-0.04818270507356759,0.998395226265543
1679689504459709243,-2.1216173602720927,4.175180683157935,1.2565502223253184,0.022787552273930284,0.019560998145376457,-0.04881002923923789,0.9983564873623972
1679689504470280857,-2.121043777353762,4.176075938974048,1.2564061889208522,0.02301424611513128,0.01994823005632981,-0.04897624005843267,0.9983354849463735
1679689504487507357,-2.1199236966568056,4.177111771790324,1.2570437525494016,0.02147417001238373,0.020488367372259775,-0.05055876660923075,0.9982799697197435
1679689504489503012,-2.1195932171819325,4.177712892569504,1.2566810473197245,0.023253483566791577,0.020544249744266618,-0.04734889812537052,0.998396359744349
1679689504514505214,-2.1180502119662683,4.179659226765469,1.2569667461374967,0.023525221328250252,0.020208188760323844,-0.04509155408188983,0.9985013494327206
1679689504518694239,-2.1167994707447626,4.180911055043376,1.2570399905499314,0.023134219621394312,0.02054645187265927,-0.047195465688869453,0.9984063497476188
1679689504530624267,-2.11619452792963,4.181807553757743,1.2564558697546222,0.02334316215261223,0.019437829395266355,-0.04294460149729907,0.998615556043143
1679689504542502578,-2.115300469336718,4.183123488495428,1.2559146704592143,0.023096228272875427,0.019015097321411958,-0.04177732430689282,0.9986789501572471
1679689504557246396,-2.1143213006657606,4.184396217827855,1.2552397804613267,0.022933303505573974,0.018256929505419694,-0.04137975665763566,0.9987134042628597
1679689504557771064,-2.1132851697601844,4.185677999025389,1.2551405601154106,0.02351549217417782,0.017393633889759737,-0.03785018134757828,0.9988552682445394
1679689504572200480,-2.1124931163149134,4.187089631141884,1.253800898807926,0.022532260963451,0.01692448193044685,-0.038721983437796266,0.9988525752711979
1679689504586866395,-2.1115919400536973,4.188523643597565,1.2533698512408875,0.023830109309305347,0.01577052183107679,-0.03642342382496781,0.9989278005583532
1679689504594088169,-2.110625703988893,4.189811425267052,1.2527108021625335,0.02257084695486678,0.01408024364164773,-0.03263488005200542,0.9991132409345415
1679689504599354227,-2.109766023248166,4.191304212242862,1.2514503211034156,0.021367876482321496,0.012806712152897613,-0.03256130835416732,0.9991592281397065
1679689504608737098,-2.1087608897192416,4.192642296625598,1.2507214612518254,0.021333685325071725,0.01163735464563488,-0.030463649308108017,0.9992404174762625
1679689504621136504,-2.107835482711047,4.194008679835187,1.2497506384414847,0.02070886742264154,0.010408135106727275,-0.028902462966314275,0.9993134949394772
1679689504628145214,-2.106672628405242,4.195583820749859,1.2491273328204002,0.020304918505162257,0.009885428682325226,-0.030473244749952708,0.9992804260760214
1679689504645711728,-2.1057488541400726,4.19673980658505,1.2484932202321504,0.019727725191732395,0.008606054121471552,-0.02668796883094708,0.999412079680297
1679689504649202973,-2.1053592937092347,4.197707272592624,1.2473366899556373,0.021530358018553502,0.0078123212640762,-0.022260782655236042,0.9994898042879858
1679689504659309428,-2.1046568066215685,4.198855785244302,1.246235438629675,0.019473101407863763,0.006795726918935675,-0.021729468307660035,0.9995511225666593
1679689504671169655,-2.1038246325168477,4.1998263353887575,1.2460009029473587,0.01930805921176947,0.005816169297523552,-0.018698922906046876,0.9996217891314351
1679689504684439985,-2.102902633467018,4.200741935996641,1.2458701675235544,0.020269488818668777,0.005574381452388673,-0.01660139277065419,0.9996411695466167
1679689504689809754,-2.1019777738853263,4.201725347326219,1.2455250987101836,0.019631620811339057,0.006292755605737784,-0.02047997189498998,0.9995776965510919
1679689504703313142,-2.1016989838384927,4.202151830355463,1.2449721271530174,0.0196647736882718,0.005775218890205014,-0.01636188867856369,0.9996560569122911
1679689504709254444,-2.10130864873028,4.202748127318724,1.2444421276128703,0.01707727540924054,0.005432847784251456,-0.01622087223030747,0.9997078243835237
