t,px,py,pz,rx,ry,rz,rw
1679690908351413965,0.018135126026723118,-0.027926437679105572,-0.07665563263269949,0.723107030876714,-0.026139748000805076,0.033408862925986695,0.6894322180962462
1679690908356418848,0.018148664752799543,-0.028024135825416015,-0.0766030265481912,0.7231900016842058,-0.026108947957640672,0.033420789755604495,0.6893457732608907
1679690908356418848,0.018148664752799543,-0.028024135825416015,-0.0766030265481912,0.7231900016842058,-0.026108947957640672,0.033420789755604495,0.6893457732608907
1679690908361454248,0.01816382104137584,-0.02812273939730274,-0.07654976904254843,0.7232729665201412,-0.026085493680679077,0.033430765098711304,0.6892591289678396
1679690908366489649,0.018180261885026302,-0.028221835777962365,-0.07649627561772951,0.7233581490195112,-0.026070496989121124,0.033439533272716336,0.6891698738687798
1679690908371525049,0.01819811738025821,-0.028321297122368368,-0.07644228309582692,0.7234550075432227,-0.026061735707692844,0.03344839984288649,0.6890680971721796
1679690908376529932,0.01821764410209479,-0.028420085949582792,-0.07638838527501407,0.7235487503260316,-0.02605864009069488,0.03345135540418968,0.6889696364861694
1679690908381565332,0.018239173194249676,-0.028518736178955582,-0.07633470820211855,0.7236434239009489,-0.02606002931466326,0.03344570022246178,0.6888704196390346
1679690908386600733,0.018262826994385115,-0.028616352937548845,-0.07628214433857218,0.7237383521654154,-0.026066947008031312,0.03343423646958676,0.6887709805953394
1679690908391636133,0.018288856811717862,-0.02871265972484479,-0.07623048517726617,0.7238277458099663,-0.026076919378830526,0.033421584852337274,0.6886772729931857
1679690908396671534,0.018316728406483112,-0.02880715698269794,-0.0761793749262356,0.7239117398173587,-0.02608794531990734,0.033404026478372394,0.6885894154564262
1679690908401676416,0.018344813960987087,-0.02889713204294494,-0.07613057833447982,0.723991875866242,-0.02610637365502262,0.03337876952813598,0.6885056852917424
1679690908406711817,0.018373043446970584,-0.028984502166539368,-0.07608364847312132,0.7240669699332758,-0.02614034444024703,0.03335470146851427,0.688426589647826
1679690908411747217,0.018401404973577916,-0.02907064884401665,-0.07603803362172433,0.7241353953898984,-0.026184220847081555,0.03333587449747765,0.6883538589952376
1679690908416782618,0.01843008691842279,-0.029157546340460985,-0.07599329312444562,0.7242001136391941,-0.026236794012747207,0.033317671350169865,0.6882846495605675
1679690908421787500,0.018459159496659047,-0.02924597464067987,-0.07594984037300591,0.7242627527786288,-0.02630035360745359,0.03329737375803401,0.6882172921675708
1679690908426822901,0.018489157886579153,-0.029338331474540763,-0.07590677624973922,0.7243203946346827,-0.026372007240092116,0.03327281430420825,0.6881550718977981
1679690908431827784,0.01851413577923448,-0.02941769748954959,-0.07587194870808056,0.7243750456202851,-0.02645269657416524,0.033246200140010576,0.6880957333851269
1679690908436863184,0.01853909090958219,-0.029500001490221542,-0.0758381550735664,0.7244328534502282,-0.02654896023451178,0.0332210170871381,0.6880323811973696
1679690908441898584,0.018564241377182884,-0.029584380408142083,-0.07580525266135636,0.7244916923818515,-0.026660344250179345,0.03319548550720745,0.6879673491206421
1679690908451938868,0.018615587671524752,-0.029758186716527846,-0.07574174623713596,0.7246177779739105,-0.026906700863598563,0.033113111972649385,0.6878289228494803
1679690908451938868,0.018615587671524752,-0.029758186716527846,-0.07574174623713596,0.7246177779739105,-0.026906700863598563,0.033113111972649385,0.6878289228494803
1679690908456974268,0.01864209168062497,-0.0298478355120027,-0.07571098303052241,0.7246936272558816,-0.027037441204363438,0.03305919664437263,0.6877464742948979
1679690908462009668,0.01867634301866169,-0.029938866687002588,-0.07568393065034161,0.7247639479740396,-0.02716591143016412,0.033006259662244415,0.687669847962204
1679690908462009668,0.01867634301866169,-0.029938866687002588,-0.07568393065034161,0.7247639479740396,-0.02716591143016412,0.033006259662244415,0.687669847962204
1679690908467014551,0.018711063598090938,-0.03003031208832636,-0.07565823768076334,0.7248508701944962,-0.02729973825641126,0.03294073327475434,0.6875760673269065
1679690908472049952,0.018746510004088418,-0.03012223678761053,-0.07563384458765138,0.7249440843571224,-0.02742734418844745,0.03286854952287331,0.6874761623493897
1679690908477085352,0.018782248283457596,-0.030213085134007864,-0.07561114934220418,0.7250410232775284,-0.027544288146335586,0.03279392354569375,0.6873728139326326
1679690908482120752,0.0188179398686765,-0.030302597043644693,-0.07559011423391697,0.7251380798877484,-0.027654463455454716,0.03271474205448785,0.6872697733786993
1679690908487125635,0.018852662343126197,-0.030390413653976527,-0.07557043745166718,0.7252326808672057,-0.027757441109320356,0.03263520696272251,0.687169576110387
1679690908492161036,0.01888622054841451,-0.030478063518427433,-0.07555165358945289,0.7253273310212527,-0.027847153527896868,0.032565940042136754,0.6870693258057385
1679690908497196436,0.018918320963097507,-0.03056566179318178,-0.0755339556919049,0.7254194323615263,-0.027914605179430316,0.03251044588982211,0.6869719738664761
1679690908502201319,0.018948982497414477,-0.030653092032675588,-0.07551746580164646,0.7255093084851638,-0.027961429216354767,0.032470845569489454,0.6868770239027949
1679690908507175684,0.018978205613934946,-0.030740263145266625,-0.07550197094239432,0.7255976365211504,-0.027987106021341645,0.03245352071166414,0.6867834890013652
1679690908512241602,0.019006568883106357,-0.030828673107944377,-0.07548668984609348,0.7256848764674675,-0.027989068215411778,0.032453579401831516,0.6866912241399613
1679690908517277002,0.019033306720326448,-0.03091518024274034,-0.07547172285315074,0.7257671357225709,-0.02796889606323538,0.03246922840816714,0.6866043655298426
