t,px,py,pz,rx,ry,rz,rw
1679690109375319452,-2.032086503018277,3.306756851329668,1.273728369180915,-0.06638284723817942,-0.02321317402264967,0.07914948269301417,0.9943791155961468
1679690109383895611,-2.03187954143293,3.306954776066924,1.2731778303894166,-0.06459111730609293,-0.023575602696533714,0.07526592127367665,0.9947900379564878
1679690109386960164,-2.032097877434907,3.307635459289752,1.2729037996750694,-0.06720176978604644,-0.02399929026337815,0.08029977433047777,0.9942132077411523
1679690109398339197,-2.031829802057869,3.3078432199010672,1.2722097297358497,-0.06532817571403288,-0.024306866819441084,0.07686044406784064,0.9946023717149446
1679690109406686890,-2.0318028212810892,3.3082576595323094,1.271319129921198,-0.0693646636413895,-0.024748443084268067,0.0790628216151095,0.9941454261027806
1679690109416886040,-2.031684293096919,3.3087521964878923,1.2711788603653507,-0.06643541589091563,-0.02488923345061628,0.08152497974454137,0.9941431180928096
1679690109429305811,-2.0312576887569582,3.3088017507810012,1.2704972498156604,-0.06409497526530183,-0.02492225317626822,0.07795163295871199,0.9945824542798997
1679690109441797073,-2.0310220558648076,3.3090371105096383,1.269979386013491,-0.06371748116067721,-0.024835855294090006,0.07841229826623718,0.9945726591692315
1679690109448891490,-2.0308810136607476,3.3095130408647946,1.2696356819489418,-0.06518891216083124,-0.024685516541416683,0.08277768246282101,0.9941271982450008
1679690109459006577,-2.030323003524132,3.3095880763711003,1.268974072221306,-0.06274963875452544,-0.024074153648572336,0.07835873212811,0.9946571404567288
1679690109467239408,-2.02998404202297,3.309698315099843,1.2686939797518848,-0.06209464933561606,-0.02363130916931508,0.07835719267697765,0.9947089856368114
1679690109477831185,-2.0299561534056685,3.3100423008681084,1.268567804101728,-0.06361909794882449,-0.02317191071297045,0.0829082279601798,0.9942544436242621
1679690109491999908,-2.029647170589839,3.3101741209335973,1.2684443776841838,-0.06289135299319676,-0.02261630114174923,0.08230849598540782,0.9943633602109296
1679690109496443058,-2.0294197765664213,3.310258229761913,1.2683568169141266,-0.06225609201727872,-0.022106579196607728,0.08261782140413332,0.9943891460335813
1679690109508593833,-2.029041771190991,3.310122263758926,1.267767539711487,-0.061425100165928226,-0.0217370892261467,0.07778308689755459,0.9948388047388721
1679690109532246741,-2.0286293543031593,3.3103307128203405,1.2678309890724395,-0.05901552688003046,-0.02103576409843613,0.0730045213853085,0.9953617453334086
1679690109532329826,-2.028732243822913,3.3104993226805925,1.267921009712537,-0.05841327577847933,-0.020939080624363966,0.07771030438025998,0.9950429903821046
1679690109539119004,-2.0286699038851084,3.310827416256961,1.2676936563485788,-0.05822219789982527,-0.02069168296531325,0.07717236818092073,0.9951012287788238
1679690109547094118,-2.028579680031999,3.3111203071664503,1.267386764838592,-0.05802498227041373,-0.02059069318736581,0.07654979039540001,0.9951629285584358
1679690109556616128,-2.02876952450537,3.311695533302329,1.26702531150983,-0.059985512383871856,-0.020506499890487712,0.08057608363910089,0.9947304743053117
1679690109566688799,-2.0285889257235685,3.31194423915446,1.266408345232774,-0.05889801521105301,-0.020534961216109152,0.07700960243869262,0.995077313732097
1679690109581128426,-2.0285733692548975,3.3124364797195414,1.265681527569012,-0.05920189926130876,-0.020721389245699728,0.07644281165330905,0.9950991185294653
1679690109586230080,-2.0287048286037788,3.3132340993928455,1.2651107062253946,-0.06192329249414068,-0.020831055836267938,0.07931134198751476,0.9947066321240504
1679690109601458153,-2.0287518584398345,3.3137979932754145,1.2642427702138412,-0.06208368892109549,-0.02140330964336171,0.07953457471308455,0.9946666604101435
1679690109613167301,-2.0287816324371146,3.3144437829309195,1.2629428947763024,-0.06191145792222394,-0.021727329046930914,0.07805766548574286,0.9947873619067278
1679690109618905279,-2.028863533114792,3.3149774845144258,1.2615592024577567,-0.062117621571226626,-0.022399434734250524,0.07902960518108226,0.9946828579596827
1679690109626611081,-2.0288519058464844,3.3156340569356346,1.2602738813862635,-0.06235708116488363,-0.02272396620255067,0.07922358992596115,0.9946450817190344
1679690109638224524,-2.0285533490323164,3.3160783062042367,1.2590271160026534,-0.05957711515877268,-0.023090271026243257,0.07484341261006602,0.9951461552566901
1679690109657915299,-2.028583500521897,3.3166408883168357,1.257304764820604,-0.0608074768982892,-0.023150215027217702,0.07506827204434745,0.9950534019989749
1679690109660998573,-2.028565066315524,3.3172730673540958,1.2557988953352182,-0.06063654204140347,-0.02363660085072854,0.0749002360142385,0.9950650609455122
1679690109673508532,-2.0287207751619003,3.3179989076039313,1.2544465835310314,-0.06237484700468426,-0.024168405175584485,0.07849282266690509,0.9946678558404272
1679690109677427642,-2.0284937904891804,3.318245780381773,1.252806391332288,-0.059870716976931734,-0.024438630957885853,0.07427399074845757,0.9951389977605493
1679690109692975080,-2.028428688243838,3.318723909178335,1.2513030228591218,-0.059552775649956396,-0.02494440131552434,0.07334516788485056,0.995214414135637
1679690109710146612,-2.0291119058230924,3.318004906635818,1.2484009971543626,-0.05917764969945367,-0.025184209269245316,0.09054663980119032,0.9938133966697396
1679690109727024532,-2.0281011151899713,3.320120393591756,1.2470611904597217,-0.0571094033835248,-0.025945637749603255,0.06974680601204378,0.9955906402623834
