t,gx,gy,gz,ax,ay,az
1689018012792591043,-0.019174760207533836,0.14594122767448425,0.1757686287164688,-0.0035913025494664907,-0.4489127993583679,10.24000072479248
1689018012801591043,-0.022370552644133568,0.15233281254768372,0.19387812912464142,-0.05746084079146385,-0.4572925269603729,10.193313598632812
1689018012811591043,-0.023435818031430244,0.15659387409687042,0.20666129887104034,-0.15682020783424377,-0.4800374209880829,10.157400131225586
1689018012821591043,-0.024501081556081772,0.16085493564605713,0.20985709130764008,-0.30047231912612915,-0.47405192255973816,10.129867553710938
1689018012830591043,-0.020240023732185364,0.16511598229408264,0.20133498311042786,-0.4572925269603729,-0.4429273009300232,10.114304542541504
1689018012840591043,-0.014913702383637428,0.1672465205192566,0.18429075181484222,-0.5817909836769104,-0.4118026793003082,10.078392028808594
1689018012849591043,-0.011717909015715122,0.16511598229408264,0.1619201898574829,-0.7003039717674255,-0.38546645641326904,10.053253173828125
1689018012859591043,-0.009587380103766918,0.15978966653347015,0.13315805792808533,-0.8056488633155823,-0.38067805767059326,10.054450035095215
1689018012869591043,-0.006391586735844612,0.15020228922367096,0.1022653877735138,-0.8786720037460327,-0.3998316824436188,10.077195167541504
1689018012878591043,-0.003195793367922306,0.13848437368869781,0.07669904083013535,-0.912190854549408,-0.41778817772865295,10.074800491333008
1689018012888591043,0.0,0.1299622654914856,0.055393751710653305,-0.9085995554924011,-0.37828385829925537,10.064026832580566
1689018012897591043,0.003195793367922306,0.11930961906909943,0.03302319720387459,-0.8750807046890259,-0.32680851221084595,10.091560363769531
1689018012907591043,0.00532632227987051,0.10333064943552017,0.019174760207533836,-0.8367734551429749,-0.30526071786880493,10.135852813720703
1689018012916591043,0.006391586735844612,0.08202536404132843,0.014913702383637428,-0.8008604645729065,-0.27413609623908997,10.153809547424316
1689018012926591043,0.00532632227987051,0.05752427875995636,0.015978965908288956,-0.7781155109405518,-0.2513911724090576,10.135852813720703
1689018012936591043,0.008522115647792816,0.034088462591171265,0.01065264455974102,-0.7793126106262207,-0.24899697303771973,10.109516143798828
1689018012945591043,0.019174760207533836,0.011717909015715122,0.007456851191818714,-0.7338228225708008,-0.28371289372444153,10.066420555114746
1689018012955591043,0.030892668291926384,-0.01065264455974102,0.012783173471689224,-0.6643909811973572,-0.33997663855552673,10.011354446411133
1689018012964591043,0.044741105288267136,-0.03195793181657791,0.013848437927663326,-0.6607996821403503,-0.3447650372982025,9.989806175231934
1689018012974591043,0.05645901337265968,-0.052197955548763275,0.011717909015715122,-0.6811503767967224,-0.3232172131538391,10.011354446411133
1689018012984591043,0.06711165606975555,-0.07030745595693588,0.00532632227987051,-0.6835445761680603,-0.31124621629714966,10.019734382629395
1689018012994591043,0.07456851005554199,-0.08628641813993454,-0.003195793367922306,-0.6751648783683777,-0.2885012924671173,10.014945983886719
1689018013003591043,0.0788295716047287,-0.09693906456232071,-0.009587380103766918,-0.6488286256790161,-0.26815059781074524,9.998186111450195
1689018013013591043,0.07989483326673508,-0.10546118021011353,-0.013848437927663326,-0.6356605291366577,-0.2801215946674347,9.97184944152832
1689018013022591043,0.07989483326673508,-0.11291802674531937,-0.01810949482023716,-0.6452373266220093,-0.2932896912097931,9.97184944152832
1689018013032591043,0.0788295716047287,-0.11930961906909943,-0.01810949482023716,-0.6476315259933472,-0.31124621629714966,9.956287384033203
1689018013042591043,0.07989483326673508,-0.12250541150569916,-0.01810949482023716,-0.6416460275650024,-0.3363853394985199,9.920374870300293
1689018013051591043,0.08096009492874146,-0.12676647305488586,-0.02130528911948204,-0.6440402269363403,-0.33518823981285095,9.907206535339355
1689018013060591043,0.07989483326673508,-0.13209278881549835,-0.026631610468029976,-0.6835445761680603,-0.31603461503982544,9.898826599121094
1689018013070591043,0.07669904083013535,-0.13635385036468506,-0.034088462591171265,-0.7242460250854492,-0.28969839215278625,9.897629737854004
1689018013080591043,0.07137271761894226,-0.1395496428012848,-0.04048004746437073,-0.7266402244567871,-0.26336216926574707,9.882067680358887
1689018013090591043,0.06391586363315582,-0.14168016612529755,-0.04261057823896408,-0.7134720683097839,-0.24779987335205078,9.849745750427246
1689018013099591043,0.055393751710653305,-0.1395496428012848,-0.044741105288267136,-0.7170634269714355,-0.23702596127986908,9.830592155456543
1689018013108591043,0.049002163112163544,-0.13741911947727203,-0.04367584362626076,-0.7194576263427734,-0.22026655077934265,9.81383228302002
1689018013118591043,0.04261057823896408,-0.13209278881549835,-0.041545312851667404,-0.7146691679954529,-0.20231004059314728,9.797073364257812
1689018013128591043,0.03834952041506767,-0.12676647305488586,-0.041545312851667404,-0.7242460250854492,-0.17717091739177704,9.800664901733398
1689018013138591043,0.03515372797846794,-0.12144014239311218,-0.04261057823896408,-0.7338228225708008,-0.14604629576206207,9.815030097961426
1689018013147591043,0.030892668291926384,-0.1161138266324997,-0.044741105288267136,-0.7433996200561523,-0.13168108463287354,9.828197479248047
1689018013157591043,0.029827404767274857,-0.10759171098470688,-0.04687163606286049,-0.7493851184844971,-0.13766659796237946,9.840168952941895
1689018013166591043,0.030892668291926384,-0.09800432622432709,-0.044741105288267136,-0.7182605266571045,-0.14844051003456116,9.84376049041748
1689018013176591043,0.030892668291926384,-0.08309062570333481,-0.04261057823896408,-0.7003039717674255,-0.1364694982767105,9.850942611694336
1689018013185591043,0.029827404767274857,-0.06924218684434891,-0.037284255027770996,-0.7182605266571045,-0.10654197633266449,9.890446662902832
1689018013195591043,0.02876213937997818,-0.05752427875995636,-0.03302319720387459,-0.7565677165985107,-0.0802057534456253,9.959878921508789
1689018013204591043,0.024501081556081772,-0.047936901450157166,-0.03302319720387459,-0.790086567401886,-0.07062894850969315,10.032901763916016
1689018013214591043,0.020240023732185364,-0.04261057823896408,-0.034088462591171265,-0.7996633648872375,-0.08499415963888168,10.098742485046387
1689018013224591043,0.014913702383637428,-0.03834952041506767,-0.04048004746437073,-0.7912836670875549,-0.11013327538967133,10.14902114868164
1689018013233591043,0.01065264455974102,-0.03621898964047432,-0.05006742849946022,-0.7685387134552002,-0.15083470940589905,10.18493366241455
1689018013243591043,0.007456851191818714,-0.03621898964047432,-0.06285060197114944,-0.7362170219421387,-0.20470423996448517,10.20648193359375
1689018013252591043,0.004261057823896408,-0.03621898964047432,-0.07563377171754837,-0.7134720683097839,-0.24899697303771973,10.229227066040039
1689018013263591043,0.002130528911948204,-0.037284255027770996,-0.08522115647792816,-0.6979097723960876,-0.28969839215278625,10.23880386352539
1689018013271591043,0.001065264455974102,-0.037284255027770996,-0.08735168725252151,-0.6596025824546814,-0.32441431283950806,10.24000072479248
1689018013281591043,-0.001065264455974102,-0.03621898964047432,-0.08522115647792816,-0.6129156351089478,-0.3579331338405609,10.251971244812012
1689018013291591043,-0.003195793367922306,-0.03515372797846794,-0.08096009492874146,-0.5662286877632141,-0.3998316824436188,10.261548042297363
1689018013300591043,-0.004261057823896408,-0.03195793181657791,-0.07563377171754837,-0.5339069962501526,-0.42018237709999084,10.255562782287598
1689018013311591043,-0.004261057823896408,-0.027696875855326653,-0.07137271761894226,-0.5123591423034668,-0.43933600187301636,10.250774383544922
1689018013319591043,-0.00532632227987051,-0.024501081556081772,-0.06604639440774918,-0.4836287498474121,-0.4728548228740692,10.257957458496094
1689018013329591043,-0.004261057823896408,-0.022370552644133568,-0.06178533658385277,-0.4429273009300232,-0.5111620426177979,10.250774383544922
1689018013339591043,-0.001065264455974102,-0.020240023732185364,-0.05752427875995636,-0.40222588181495667,-0.5410895943641663,10.234015464782715
1689018013349591043,0.00532632227987051,-0.017044231295585632,-0.05432848632335663,-0.38546645641326904,-0.5566518902778625,10.220847129821777
1689018013358591043,0.012783173471689224,-0.014913702383637428,-0.049002163112163544,-0.3603273630142212,-0.569819986820221,10.20648193359375
1689018013368591043,0.023435818031430244,-0.01065264455974102,-0.044741105288267136,-0.3196259140968323,-0.5997475385665894,10.187328338623047
1689018013377591043,0.03515372797846794,-0.008522115647792816,-0.04048004746437073,-0.2777273952960968,-0.6260837316513062,10.156203269958496
1689018013387591043,0.04580637067556381,-0.008522115647792816,-0.03941478580236435,-0.23343466222286224,-0.6380547285079956,10.126276016235352
1689018013396591043,0.055393751710653305,-0.007456851191818714,-0.03621898964047432,-0.1975216418504715,-0.6392518281936646,10.089165687561035
1689018013406591043,0.06604639440774918,-0.00532632227987051,-0.03302319720387459,-0.1604115068912506,-0.6404489278793335,10.064026832580566
1689018013415591043,0.07669904083013535,-0.004261057823896408,-0.027696875855326653,-0.14006079733371735,-0.6368576288223267,10.046070098876953
1689018013425591043,0.08522115647792816,-0.003195793367922306,-0.022370552644133568,-0.13407529890537262,-0.6033388376235962,10.005369186401367
1689018013435591043,0.092678003013134,-0.002130528911948204,-0.017044231295585632,-0.12090718746185303,-0.5566518902778625,9.97065258026123
1689018013445591043,0.09693906456232071,-0.002130528911948204,-0.011717909015715122,-0.11372458189725876,-0.5039794445037842,9.950302124023438
1689018013454591043,0.10013485699892044,-0.006391586735844612,-0.01065264455974102,-0.12330138683319092,-0.4513069987297058,9.927556991577148
1689018013464591043,0.10013485699892044,-0.011717909015715122,-0.01065264455974102,-0.1412578970193863,-0.395043283700943,9.909600257873535
1689018013473591043,0.09906959533691406,-0.01810949482023716,-0.011717909015715122,-0.14604629576206207,-0.33039984107017517,9.896432876586914
1689018013483591043,0.09587380290031433,-0.026631610468029976,-0.009587380103766918,-0.14365209639072418,-0.2537853717803955,9.882067680358887
1689018013493591043,0.09054747968912125,-0.03515372797846794,-0.006391586735844612,-0.152031809091568,-0.1759738177061081,9.862914085388184
1689018013502591043,0.08309062570333481,-0.04261057823896408,-0.003195793367922306,-0.1711854189634323,-0.10295066982507706,9.849745750427246
1689018013512591043,0.07563377171754837,-0.05326322093605995,-0.004261057823896408,-0.17836801707744598,-0.03232172131538391,9.861716270446777
