t,px,py,pz,rx,ry,rz,rw
1689018218879236698,-17.421357755570256,-21.15731441911068,0.3110239687105337,-0.40682824152110597,-0.6167923351271886,0.5556332721877584,0.3812212796619818
1689018241902210951,-13.909103575730477,-17.153656971792312,0.30111074485191786,-0.3279065509815939,-0.6692557151777073,0.6043597738933677,0.2816440044185006
1689018241907246351,-13.908176122104994,-17.153526789486854,0.3009922107529652,-0.32835701102935,-0.669003445776922,0.6040995339881091,0.28227613409890995
1689018241912281752,-13.907249871649922,-17.153376218831493,0.3008663547879651,-0.32880202661035796,-0.6687448451886585,0.6038585655436439,0.282885828825149
1689018241917286634,-13.90633095044647,-17.1532061114919,0.3007345450993713,-0.32923774540466566,-0.6684811103255338,0.6036396092613806,0.28346910637591854
1689018241922322035,-13.905408563777147,-17.15301464691988,0.30059542050559557,-0.32967090128104454,-0.668207345576632,0.60344172293661,0.28403191226563074
1689018241927357435,-13.904488649829897,-17.152803238937704,0.300449605998135,-0.3300949732041441,-0.667926105903239,0.6032664464792241,0.2845726976900983
1689018241932362318,-13.903576949477065,-17.152573762126064,0.30029829315922435,-0.3305092083753302,-0.6676433555176512,0.6031085895934507,0.2850895336045196
1689018241937397718,-13.902662517498396,-17.15232422842867,0.3001399334379677,-0.33091952659689716,-0.6673572258193952,0.6029652922205138,0.2855861629017708
1689018241942433119,-13.901750919410807,-17.152056704512756,0.29997566629416045,-0.33131861447736044,-0.6670728280133406,0.6028359799268717,0.2860604815990754
1689018241947438002,-13.90084754741421,-17.15177302959694,0.2998070567888784,-0.3317039039576908,-0.6667901164589816,0.6027202536040446,0.2865165904224762
1689018241952473402,-13.899944177214321,-17.15147042395239,0.2996446574657901,-0.3321131158682962,-0.6664672915267598,0.6026289061613627,0.28698541609635214
1689018241957508802,-13.899043938733895,-17.151149936084447,0.2994777460945623,-0.3324936522253379,-0.6661851260543598,0.6025280489749614,0.2874113763444646
1689018241962544203,-13.898147368147317,-17.15081154560754,0.2993067932297228,-0.3328704892090572,-0.6659082284985576,0.6024314738975162,0.2878190193321184
1689018241967549086,-13.897260149738917,-17.15045760482381,0.29913298865693544,-0.33323312453251475,-0.665642299983518,0.6023416769218057,0.28820221621281294
1689018241972584486,-13.896371865626222,-17.150084184407927,0.2989547584919179,-0.33359250478273295,-0.6653829721111155,0.6022535166127975,0.28856930346951254
1689018241977619886,-13.895488627559065,-17.14969331044358,0.29877453094934414,-0.333952398821688,-0.6651289052414148,0.6021678160532034,0.28891738619078083
1689018241982624769,-13.894615911687321,-17.14928686238452,0.2985948303356313,-0.3343092796841159,-0.664882207524694,0.6020884794064074,0.28923765073077456
1689018241987660170,-13.893742954607378,-17.14885938793462,0.2984144982856509,-0.3346716021121352,-0.6646378908155273,0.602013166986709,0.28953676727941985
1689018241992695570,-13.892875088084255,-17.148413145427597,0.2982355558541788,-0.33503504103158094,-0.664397550004729,0.6019425061900753,0.28981483065966746
1689018241997730970,-13.892011873859337,-17.147948196081582,0.29805873630249424,-0.335399848781104,-0.6641609962916001,0.6018790407341632,0.2900667729463088
